"transactTime","transactType","amount","fee","address","transactStatus","walletBalance"
"2020-04-03T12:00:00.000Z","RealisedPNL","-9062840","0","XBTUSD","Completed","150236870"
"2020-04-02T12:00:00.000Z","RealisedPNL","-29122626","0","XBTUSD","Completed","159299710"
"2020-04-01T12:00:00.000Z","RealisedPNL","19528333","0","XBTUSD","Completed","188422336"
"2020-03-31T12:00:00.000Z","RealisedPNL","10167","0","XBTUSD","Completed","168894003"
"2020-03-30T12:00:00.000Z","RealisedPNL","-11250197","0","XBTUSD","Completed","168883836"
"2020-03-29T12:00:00.000Z","RealisedPNL","1667383","0","XBTUSD","Completed","180134033"
"2020-03-28T12:00:00.000Z","RealisedPNL","45345297","0","XBTUSD","Completed","178466650"
"2020-03-27T12:00:00.000Z","RealisedPNL","9020044","0","XBTUSD","Completed","133121353"
"2020-03-27T12:00:00.000Z","RealisedPNL","511084","0","ETHUSD","Completed","124101309"
"2020-03-26T12:00:00.000Z","RealisedPNL","13324584","0","XBTUSD","Completed","123590225"
"2020-03-26T12:00:00.000Z","RealisedPNL","56028","0","ETHUSD","Completed","110265641"
"2020-03-25T12:00:00.000Z","RealisedPNL","9339837","0","XBTUSD","Completed","110209613"
"2020-03-24T12:00:00.000Z","RealisedPNL","46685265","0","XBTUSD","Completed","100869776"
"2020-03-24T11:10:09.652Z","Withdrawal","-17100000","100000","3BEUmVVcx5YUi9JrR5RPPowjmdHg7ZnsC8","Completed","54184511"
"2020-03-23T12:00:00.000Z","RealisedPNL","6652129","0","XBTUSD","Completed","71284511"
"2020-03-23T12:00:00.000Z","RealisedPNL","-13361180","0","ETHUSD","Completed","64632382"
"2020-03-22T12:00:00.000Z","RealisedPNL","-11567537","0","XBTUSD","Completed","77993562"
"2020-03-21T12:00:00.000Z","RealisedPNL","-27132540","0","XBTUSD","Completed","89561099"
"2020-03-20T12:00:00.000Z","RealisedPNL","27747297","0","XBTUSD","Completed","116693639"
"2020-03-20T10:14:46.181Z","Withdrawal","-25500000","100000","3BEUmVVcx5YUi9JrR5RPPowjmdHg7ZnsC8","Completed","88946342"
"2020-03-19T12:00:00.000Z","RealisedPNL","2721886","0","XBTUSD","Completed","114446342"
"2020-03-19T07:52:14.418Z","Withdrawal","-18100000","100000","3BEUmVVcx5YUi9JrR5RPPowjmdHg7ZnsC8","Completed","111724456"
"2020-03-18T12:00:00.000Z","RealisedPNL","20506745","0","XBTUSD","Completed","129824456"
"2020-03-17T12:00:00.000Z","RealisedPNL","18611163","0","XBTUSD","Completed","109317711"
"2020-03-16T12:00:00.000Z","RealisedPNL","52232462","0","XBTUSD","Completed","90706548"
"2020-03-15T12:00:00.000Z","RealisedPNL","3046258","0","XBTUSD","Completed","38474086"
"2020-03-14T12:00:00.000Z","RealisedPNL","5958679","0","XBTUSD","Completed","35427828"
"2020-03-13T12:00:00.000Z","RealisedPNL","-61775563","0","XBTUSD","Completed","29469149"
"2020-03-13T12:00:00.000Z","RealisedPNL","2368033","0","XBTM20","Completed","91244712"
"2020-03-12T12:00:00.000Z","RealisedPNL","8830290","0","XBTUSD","Completed","88876679"
